Date,Open,High,Low,Close,Adj Close,Volume,A,R
1988-05-12,8.98,8.98,8.98,8.98,1.177026,0,0.000%,0.000%
1988-05-13,9.01,9.01,9.01,9.01,1.180959,0,0.334%,0.334%
1988-05-16,8.99,8.99,8.99,8.99,1.178338,0,-0.222%,-0.222%
1988-05-17,8.92,8.92,8.92,8.92,1.169162,0,-0.779%,-0.779%
1988-05-18,8.87,8.87,8.87,8.87,1.162607,0,-0.561%,-0.561%
1988-05-19,8.89,8.89,8.89,8.89,1.165229,0,0.226%,0.226%
1988-05-20,8.86,8.86,8.86,8.86,1.161297,0,-0.337%,-0.337%
1988-05-23,8.85,8.85,8.85,8.85,1.159987,0,-0.113%,-0.113%
1988-05-24,8.87,8.87,8.87,8.87,1.162607,0,0.226%,0.226%
1988-05-25,8.88,8.88,8.88,8.88,1.163919,0,0.113%,0.113%
1988-05-26,8.88,8.88,8.88,8.88,1.163919,0,0.000%,0.000%
1988-05-27,8.87,8.87,8.87,8.87,1.162607,0,-0.113%,-0.113%
1988-05-31,8.88,8.88,8.88,8.88,1.172512,0,0.852%,0.852%
1988-06-01,9.01,9.01,9.01,9.01,1.189677,0,1.464%,1.464%
1988-06-02,8.99,8.99,8.99,8.99,1.187036,0,-0.222%,-0.222%
1988-06-03,9.06,9.06,9.06,9.06,1.196278,0,0.779%,0.779%
1988-06-06,9.06,9.06,9.06,9.06,1.196278,0,0.000%,0.000%
1988-06-07,9.01,9.01,9.01,9.01,1.189677,0,-0.552%,-0.552%
1988-06-08,9.08,9.08,9.08,9.08,1.19892,0,0.777%,0.777%
1988-06-09,9.04,9.04,9.04,9.04,1.193636,0,-0.441%,-0.441%
1988-06-10,9.06,9.06,9.06,9.06,1.196278,0,0.221%,0.221%
1988-06-13,9.08,9.08,9.08,9.08,1.19892,0,0.221%,0.221%
1988-06-14,9.26,9.26,9.26,9.26,1.222686,0,1.982%,1.982%
1988-06-15,9.22,9.22,9.22,9.22,1.217404,0,-0.432%,-0.432%
1988-06-16,9.1,9.1,9.1,9.1,1.20156,0,-1.301%,-1.301%
1988-06-17,8.99,8.99,8.99,8.99,1.187036,0,-1.209%,-1.209%
1988-06-20,9.01,9.01,9.01,9.01,1.189677,0,0.222%,0.222%
1988-06-21,9,9,9,9,1.188356,0,-0.111%,-0.111%
1988-06-22,9.13,9.13,9.13,9.13,1.205522,0,1.445%,1.445%
1988-06-23,9.16,9.16,9.16,9.16,1.209481,0,0.328%,0.328%
1988-06-24,9.17,9.17,9.17,9.17,1.210802,0,0.109%,0.109%
1988-06-27,9.1,9.1,9.1,9.1,1.20156,0,-0.763%,-0.763%
1988-06-28,9.16,9.16,9.16,9.16,1.209481,0,0.659%,0.659%
1988-06-29,9.13,9.13,9.13,9.13,1.205522,0,-0.327%,-0.327%
1988-06-30,9.18,9.18,9.18,9.18,1.220544,0,1.246%,1.246%
1988-07-01,9.21,9.21,9.21,9.21,1.224534,0,0.327%,0.327%
1988-07-05,9.17,9.17,9.17,9.17,1.219215,0,-0.434%,-0.434%
1988-07-06,9.07,9.07,9.07,9.07,1.205919,0,-1.091%,-1.091%
1988-07-07,9.07,9.07,9.07,9.07,1.205919,0,0.000%,0.000%
1988-07-08,8.99,8.99,8.99,8.99,1.195283,0,-0.882%,-0.882%
1988-07-11,9.02,9.02,9.02,9.02,1.199272,0,0.334%,0.334%
1988-07-12,8.98,8.98,8.98,8.98,1.193954,0,-0.443%,-0.443%
1988-07-13,8.93,8.93,8.93,8.93,1.187305,0,-0.557%,-0.557%
1988-07-14,8.94,8.94,8.94,8.94,1.188636,0,0.112%,0.112%
1988-07-15,8.97,8.97,8.97,8.97,1.192623,0,0.335%,0.335%
1988-07-18,8.91,8.91,8.91,8.91,1.184647,0,-0.669%,-0.669%
1988-07-19,8.95,8.95,8.95,8.95,1.189965,0,0.449%,0.449%
1988-07-20,8.94,8.94,8.94,8.94,1.188636,0,-0.112%,-0.112%
